id,name_en,name_ru
376,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, cooked, pan-fried",
377,"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",
378,"Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",
379,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, braised",
380,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, broiled",
381,"Pork, fresh, loin, center rib (chops), boneless, separable lean and fat, cooked, pan-fried",
382,"Pork, fresh, loin, center rib (chops), boneless, separable lean only, cooked, pan-fried",
383,"Pork, fresh, loin, center rib (roasts), boneless, separable lean only, cooked, roasted",
384,"Pork, fresh, loin, country-style ribs, separable lean and fat, raw",
385,"Pork, fresh, loin, country-style ribs, separable lean and fat, cooked, braised",
386,"Pork, fresh, loin, country-style ribs, separable lean and fat, bone-in, cooked, roasted",
387,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, braised",
388,"Pork, fresh, loin, sirloin (chops), boneless, separable lean and fat, cooked, broiled",
389,"Pork, fresh, loin, sirloin (roasts), boneless, separable lean and fat, cooked, roasted",
390,"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",
391,"Pork, fresh, ground, raw",
392,"Pork, fresh, ground, cooked",
393,"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, broiled",
394,"Pork, fresh, loin, tenderloin, separable lean and fat, cooked, roasted",
395,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean and fat, cooked",
396,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",
397,"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, cooked",
398,"HORMEL, Cure 81 Ham",
399,"HORMEL ALWAYS TENDER, Pork Tenderloin, Teriyaki-Flavored",
400,HORMEL Canadian Style Bacon,
401,"Pork, fresh, loin, top loin (chops), boneless, separable lean only, with added solution, cooked, pan-broiled",
402,"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, with added solution, cooked, pan-broiled",
403,"Pork, cured, bacon, cooked, baked",
404,"Pork, cured, ham -- water added, rump, bone-in, separable lean only, heated, roasted",
